1 0
0.99 0.00287104
0.98 0.00561084
0.97 0.00823437
0.96 0.0107552
0.95 0.0131856
0.94 0.0155366
0.93 0.0178181
0.92 0.020039
0.91 0.022207
0.9 0.024329
0.89 0.026411
0.88 0.0284583
0.87 0.0304752
0.86 0.0324654
0.85 0.034432
0.84 0.0363776
0.83 0.0383041
0.82 0.0402129
0.81 0.0421051
0.8 0.0439812
0.79 0.0458415
0.78 0.0476859
0.77 0.0495141
0.76 0.0513255
0.75 0.0531191
0.74 0.054894
0.73 0.0566491
0.72 0.0583828
0.71 0.060094
0.7 0.061781
0.69 0.0634423
0.68 0.0650763
0.67 0.0666813
0.66 0.0682556
0.65 0.0697978
0.64 0.071306
0.63 0.0727788
0.62 0.0742145
0.61 0.0756117
0.6 0.0769689
0.59 0.0782847
0.58 0.0795578
0.57 0.0807868
0.56 0.0819706
0.55 0.083108
0.54 0.084198
0.53 0.0852394
0.52 0.0862315
0.51 0.0871731
0.5 0.0880635
0.49 0.0889019
0.48 0.0896873
0.47 0.0904191
0.46 0.0910964
0.45 0.0917186
0.44 0.0922848
0.43 0.0927941
0.42 0.0932459
0.41 0.0936392
0.4 0.093973
0.39 0.0942464
0.38 0.0944582
0.37 0.0946072
0.36 0.0946922
0.35 0.0947115
0.34 0.0946637
0.33 0.0945469
0.32 0.0943591
0.31 0.0940982
0.3 0.0937618
0.29 0.0933473
0.28 0.0928518
0.27 0.0922722
0.26 0.091605
0.25 0.0908465
0.24 0.0899925
0.23 0.0890388
0.22 0.0879803
0.21 0.086812
0.2 0.0855282
0.19 0.0841225
0.18 0.0825884
0.17 0.0809185
0.16 0.0791047
0.15 0.0771382
0.14 0.075009
0.13 0.0727063
0.12 0.0702173
0.11 0.0675277
0.1 0.0646205
0.09 0.0614749
0.08 0.0580655
0.07 0.0543591
0.06 0.050311
0.05 0.0458569
0.04 0.0408979
0.03 0.0352652
0.02 0.028623
0.01 0.0200837
0 0
0 -0
0.01 -0.0102166
0.02 -0.0144086
0.03 -0.0176193
0.04 -0.0203324
0.05 -0.0227341
0.06 -0.0249175
0.07 -0.0269356
0.08 -0.0288207
0.09 -0.030593
0.1 -0.0322653
0.11 -0.0338455
0.12 -0.0353384
0.13 -0.0367466
0.14 -0.038071
0.15 -0.0393118
0.16 -0.0404681
0.17 -0.0415389
0.18 -0.042523
0.19 -0.0434188
0.2 -0.0442252
0.21 -0.0449407
0.22 -0.0455643
0.23 -0.0460953
0.24 -0.046533
0.25 -0.0468773
0.26 -0.047128
0.27 -0.0472857
0.28 -0.047351
0.29 -0.047325
0.3 -0.0472089
0.31 -0.0470044
0.32 -0.0467136
0.33 -0.0463386
0.34 -0.045882
0.35 -0.0453465
0.36 -0.0447352
0.37 -0.0440513
0.38 -0.0432983
0.39 -0.0424798
0.4 -0.0415995
0.41 -0.0406613
0.42 -0.0396693
0.43 -0.0386275
0.44 -0.0375402
0.45 -0.0364115
0.46 -0.0352456
0.47 -0.0340469
0.48 -0.0328194
0.49 -0.0315675
0.5 -0.0302951
0.51 -0.0290064
0.52 -0.0277053
0.53 -0.0263957
0.54 -0.0250813
0.55 -0.0237656
0.56 -0.0224522
0.57 -0.0211444
0.58 -0.0198452
0.59 -0.0185576
0.6 -0.0172845
0.61 -0.0160284
0.62 -0.0147917
0.63 -0.0135767
0.64 -0.0123856
0.65 -0.01122
0.66 -0.0100819
0.67 -0.00897279
0.68 -0.00789404
0.69 -0.00684698
0.7 -0.00583276
0.71 -0.00485245
0.72 -0.00390704
0.73 -0.00299745
0.74 -0.00212456
0.75 -0.00128927
0.76 -0.000492473
0.77 0.000264867
0.78 0.000981697
0.79 0.00165683
0.8 0.00228892
0.81 0.00287639
0.82 0.0034174
0.83 0.00390981
0.84 0.00435112
0.85 0.00473837
0.86 0.00506816
0.87 0.00533653
0.88 0.00553891
0.89 0.00567006
0.9 0.00572399
0.91 0.00569386
0.92 0.00557196
0.93 0.00534959
0.94 0.00501696
0.95 0.00456313
0.96 0.00397591
0.97 0.00324176
0.98 0.00234569
0.99 0.00127117
1 0
